COUNTRY,POPULATION,MEDIANAGE,POPGROWTH,BIRTHRATE,MTRNLDTH,HEATHEXPENDITURE,INFANTMORATLITYRATE,OBESITY,TOTALFERTILITYRATE
Tunisia,11037225.00,31.9,0.89,16.64,56,7,22.35,22.3,1.99
Turkey,79414269.00,30.1,1.26,16.33,20,6.3,18.87,27.8,2.05
Turkmenistan,5231422.00,27.1,1.14,19.4,67,2,36.82,13.2,2.09
Uganda,37101745.00,15.6,3.24,43.79,310,8,59.21,4.3,5.89
Ukraine,44429471.00,40.1,-0.6,10.72,32,7.6,8.12,21.3,1.53
United Arab Emirates,5779760.00,30.3,2.58,15.43,12,2.8,10.59,32.7,2.35
United Kingdom,64088222.00,40.4,0.54,12.17,12,9.4,4.38,26.9,1.89
United States,321368864.00,37.8,0.78,12.49,21,17.9,5.87,33,1.87
Uruguay,3341893.00,34.5,0.27,13.07,29,8.9,8.74,24.8,1.82
Uzbekistan,29199942.00,27.6,0.93,17,28,5.9,19.2,15.1,1.79
Vanuatu,272264.00,21.4,1.95,25.04,110,3.6,15.7,27.5,3.25
Venezuela,29275460.00,27.2,1.39,19.16,92,4.6,18.91,30.3,2.32
Vietnam,94348835.00,29.6,0.97,15.96,59,6.6,18.39,1.7,1.83
Yemen,26737317.00,18.9,2.47,29.98,200,5.5,48.93,14.5,3.91
Zambia,15066266.00,16.7,2.88,42.13,440,6.5,64.72,3.6,5.72
